TRAVELER_ID,GENDER,AGE_GRP,MARR_STTS,JOB_NM,INCOME,HOUSE_INCOME,TRAVEL_FREQ,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8
f009186,0,1.0,1,0,0.09090909090909091,0.2727272727272727,0.45098039215686275,0.16666666666666666,1.0,0.5,0.16666666666666666,0.5,0.3333333333333333,0.5,0.8333333333333334
f016521,1,0.25,1,0,0.5454545454545454,0.9090909090909091,0.11764705882352941,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.8333333333333334,0.16666666666666666,1.0
f002539,0,0.75,1,0,0.36363636363636365,0.5454545454545454,0.0392156862745098,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333
f005129,0,0.0,0,0,0.18181818181818182,0.45454545454545453,0.45098039215686275,0.0,0.0,0.0,0.5,0.16666666666666666,0.3333333333333333,1.0,0.16666666666666666
f006192,1,0.5,0,0,0.2727272727272727,0.5454545454545454,0.0196078431372549,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.3333333333333333
f003373,1,0.25,1,0,0.0,0.2727272727272727,0.21568627450980393,0.0,0.3333333333333333,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,1.0
f004255,0,1.0,1,0,0.18181818181818182,0.36363636363636365,0.09803921568627451,0.3333333333333333,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.6666666666666666
f004578,1,0.0,0,0,0.18181818181818182,0.2727272727272727,0.45098039215686275,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334
f002582,0,0.0,0,1,0.0,0.45454545454545453,0.0784313725490196,0.8333333333333334,0.5,0.16666666666666666,0.16666666666666666,0.5,0.5,0.5,1.0
f002464,1,0.25,0,0,0.45454545454545453,0.45454545454545453,0.0392156862745098,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.8333333333333334,0.3333333333333333,1.0
f003444,1,0.0,0,0,0.0,0.5454545454545454,0.0196078431372549,0.5,0.5,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.6666666666666666
f005212,0,0.0,0,1,0.09090909090909091,0.5454545454545454,0.0392156862745098,0.5,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.0,0.3333333333333333
