COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
7,e_e002657,6,2,4,3
9,e_e002657,6,1,1,3
2,e_e002661,2,2,1,1
1,e_e002661,1,1,4,1
1,e_e002667,1,1,4,1
2,e_e002675,6,2,1,3
1,e_e002675,5,2,5,3
1,e_e002680,8,2,3,1
1,e_e002682,7,1,3,1
2,e_e002682,7,2,3,1
1,e_e002686,1,2,4,1
2,e_e002686,2,1,1,1
1,e_e002687,1,1,5,1
3,e_e002687,2,1,2,1
2,e_e002687,2,1,2,1
1,e_e002688,2,2,3,1
1,e_e002695,1,1,7,1
1,e_e002696,1,1,4,1
1,e_e002703,1,2,6,1
1,e_e002731,7,2,3,3
1,e_e002734,7,2,3,1
1,e_e002752,1,2,4,1
1,e_e002761,1,1,5,1
3,e_e002761,2,1,2,1
2,e_e002761,2,2,2,1
1,e_e002772,3,2,8,1
1,e_e002791,7,2,3,1
2,e_e002791,7,2,3,1
1,e_e002795,7,1,4,1
3,e_e002795,7,2,4,1
2,e_e002795,7,1,4,1
4,e_e002795,7,2,4,1
1,e_e002796,7,1,4,1
1,e_e002797,8,2,3,1
2,e_e002806,2,1,1,1
1,e_e002806,1,1,4,1
1,e_e002807,1,1,5,1
3,e_e002807,2,1,2,1
2,e_e002807,2,2,2,1
1,e_e002914,1,2,5,1
2,e_e002914,2,1,1,1
1,e_e002926,7,2,5,1
2,e_e002926,3,2,8,1
1,e_e002929,1,1,5,1
1,e_e002930,8,2,3,1
1,e_e002941,9,2,3,1
1,e_e002946,1,2,4,1
3,e_e002946,2,1,1,1
2,e_e002946,2,2,2,1
2,e_e002947,2,1,1,1
1,e_e002947,1,1,4,1
1,e_e002948,8,1,4,1
1,e_e002954,1,1,5,1
3,e_e002954,2,2,2,1
2,e_e002954,2,1,2,1
4,e_e002954,2,2,2,1
1,e_e002955,8,2,3,1
1,e_e002961,3,2,6,1
1,e_e002971,8,2,4,1
1,e_e002983,8,2,4,1
2,e_e002988,7,2,3,3
1,e_e002988,7,2,3,3
1,e_e002994,1,2,5,1
2,e_e002994,2,1,1,1
1,e_e003005,1,2,7,1
1,e_e003012,7,2,4,1
2,e_e003012,7,2,4,1
1,e_e003028,5,1,4,3
1,e_e003046,7,2,4,1
2,e_e003046,7,2,4,3
1,e_e003047,10,1,8,1
3,e_e003047,10,1,7,1
5,e_e003047,10,1,8,1
