travel_id,visit_sequence,avg_satisfaction,avg_revisit_intent,avg_recommend_intent,trip_start,trip_end,trip_duration
e_e001007,"['트레이더스 홀세일 클럽 스타필드 시티 부천점', '화평동 냉면거리', '월미도', '월미도 선착장', '선녀바위', '블루오션 레지던스 호텔', '수도국산 달동네 박물관', '이강 숯불갈비 함흥냉면']",4.5,4.25,4.25,2023-06-03,2023-06-04,2
e_e001078,"['인천광역시 교육청 교육과 학정 보원 인천학생과학관', '영종원조국수집', '인천국제공항 하늘정원', '월미도행 여객터미널', '롯데마트 송도점', '송도센트럴파크', '송쭈집 본점']",4.285714,4.0,4.0,2023-06-10,2023-06-10,1
e_e001085,"['사이드 쇼 월드 몰점', '매트 블랙', '롯데월드타워 롯데월드몰', '롯데 에비뉴엘 잠실점', 'TWG Tea 잠실 롯데 에비뉴엘 월드타워점', '바토스 잠실점']",4.0,4.0,4.1666665,2023-05-27,2023-05-27,1
e_e001112,"['영동대교 휴게소', '인터내셔널호텔 영종', '은하수 광장', '통 큰 회조기 창고', '구읍뱃터', '메가 MGC 커피 영종구읍뱃터점', '97도씨 해물칼국수 영종 본점', '평상인 제빵소']",4.0,3.75,3.875,2023-05-27,2023-05-28,2
e_e001122,"['나인 트리 프리미어 호텔 서울 판교', '더 몰트 하우스 서핑 시티 판교점', '나인 트리 프리미어 호텔 서울 판교', '나인 트리 프리미어 호텔 서울 판교', '푸틴 판교점', '호암미술관', '스노피크 에버랜드 캠프 필드']",4.857143,4.714286,4.714286,2023-05-27,2023-05-28,2
e_e001133,"['발리다', '대부바다 향기테마파크', '군자농협 하나로마트 대부점', '스테이 제부 펜션', '오솔길', '어가촌']",4.5,4.5,4.5,2023-06-01,2023-06-02,2
e_e001139,"['현대 프리미엄 아울렛 김포점', '아라 김포여객터미널 아라마린센터', '바이콜로지 방학 개론 샹이 그리나점']",5.0,5.0,5.0,2023-05-27,2023-05-27,1
e_e001156,"['두툼', '카페에뚜왈 충정로점', '서울로 717', '충무로역 4호선', '천주교 서울 대교구 주교좌 명동 대성당', '쯔루하시후게츠 명동점', '명동거리', '동국대학교 서울캠퍼스', '온 더 플랜 커피 랩', 'CGV 명동', '청년 메밀', '크림 시크']",4.5833335,4.5,4.75,2023-05-27,2023-05-29,3
e_e001161,"['위크 엔드 라운지', '제주 깜장 돼지 주안 북부역점', '현대 프리미엄 아울렛 송도점', '심통 즉석떡볶이', '대오 통닭']",5.0,5.0,5.0,2023-05-27,2023-05-28,2
e_e001203,"['경기도 광주시 오포읍 리치 식자재마트', '한 통이 광주점', '한국등잔 박물관', '전통 발효음식 체험 교육장']",4.0,3.0,3.0,2023-05-30,2023-05-30,1
e_e001209,"['대부도 비치펜션 캠핑장', '대부도', '대부도 비치펜션 캠핑장', '라파예트 클럽하우스']",3.75,3.5,3.5,2023-05-28,2023-05-29,2
e_e001235,"['파주출판도시', '파주출판 단지 근린공원', '네이처 스파', '다이소 파주 교하점', '광백 저수지']",4.6,4.0,4.2,2023-05-29,2023-05-30,2
e_e001241,"['가평역 경춘선', '가평역 레저', '연화 펜션', '가평역 경춘선']",4.75,5.0,5.0,2023-05-27,2023-05-28,2
e_e001249,"['서울고속버스터미널(경부)', '준오헤어 이수역점', '힐튼 가든인 서울 강남점', '힐튼 가든인 서울 강남점', '동서울 종합터미널']",4.4,4.2,4.2,2023-05-27,2023-05-28,2
e_e001253,"['코엑스 아쿠아리움', '남산공원 N서울타워', '명동거리', '동대문종합시장', '짬뽕 지존 장안점', '동대문디자인플라자(DDP) 동대문 역사 문화공원', '현대 시티 아울렛 동대문점', '밀리오레', '강남 터미널 1구역 지하상가']",3.7777777,3.7777777,3.7777777,2023-05-27,2023-05-28,2
e_e001268,"['서울대공원', '역전 할머니 맥주 안양 일 번가 점', '호텔 여기 어때 안양 1번가점', '안양중앙시장', '이마트 수원점', '남이섬']",4.1666665,4.1666665,4.1666665,2023-06-03,2023-06-05,3
e_e001272,"['마일스톤 커피 한남', '난포 한남', '토리아 에즈 구파발점', 'GS25 진관 헤스티아점', '양양 감자 칼국수', '카카오 프렌즈 홍대 플래그십스토어', '왕과 탕후루', '리틀 빅토리', '테일러 커피 연남 1호점', '그랑 핸드 마포', '오브젝트', '세븐일레븐 수서역사 5호점']",4.1666665,4.0,4.25,2023-05-27,2023-05-28,2
e_e001273,"['미분당 연신내점', '은평 한옥마을', '진관사', '투썸플레이스 은평 한옥마을 점', '고속터미널역 지하상가', '맘스터치 서래 마을점', 'CN 스파', 'CU 반포한 신점', '스타벅스 파리에파크 R점', '파리에스테이션', '상봉역 7호선']",3.6363637,3.1818182,3.090909,2023-05-27,2023-05-28,2
e_e001283,"['뚝섬한강공원', '껠끄쇼즈', '카츠바이콘반', '칠곡휴게소 서울 방향', '문경휴게소 양평방향', '충주휴게소 주유소 양평방향', '서울숲', '발랑스', '더 현대 서울', '소문난 성수 감자탕', '진저 베어', '밤부베이커리&브루잉 대치동', '쎄쎄종', '전제로', '시멘트 서울', '맥심 플랜트', '뚝섬한강공원', '청국장 서갈비', '브레덴버가', '국립고궁박물관', '미드나이트 플레저', '조앤 도슨', '더콘란샵', '코르 바니 W', '서강 쇠 떡볶이 본점']",3.92,3.68,3.72,2023-05-27,2023-05-29,3
e_e001288,"['여주휴게소 서창방향', '조계사', '청와대 본관', '수송 게스트하우스', '경양 회관', '국립고궁박물관', '경복궁', '광화문광장', '수송 게스트하우스', '나주소 나주곰탕 종로 수송점', '롯데월드', '수송 게스트하우스', '롯데월드타워', '한국의 집 롯데월드몰점']",4.428571,4.428571,4.357143,2023-05-27,2023-05-29,3
e_e001292,"['윌드 컵공원', 'GS25 망원 2호점', '어 로드 커피', '헤비 스테이크 상암 DMC 점']",5.0,4.75,5.0,2023-05-30,2023-05-30,1
e_e001297,"['대법사', '반려동물테마파크', '신논현역 신분당선', '여주 375아울렛 명품관', '부잣집 정육 식당', '여주역 경강선', '여주역 경강선']",4.285714,4.142857,4.142857,2023-05-27,2023-05-27,1
e_e001310,"['잠실한강공원 잠실 1주차장', '석촌 홀(서호) 교차로', '청 와 옥 석촌호수 직영점', '새마을 전통시장']",4.0,4.0,4.0,2023-05-27,2023-05-27,1
e_e001315,"['BMW 드라이빙 센터', '인천공항 전망대', '롯데마트 영종도점', '제이앤 파크호텔', '제이앤 파크호텔', '을왕리 해수욕장', '짜증 왕새우튀김', '제이앤 파크호텔']",3.75,4.0,3.875,2023-06-03,2023-06-03,1
