TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,VISIT_AREA_NM,TRAVEL_PERSONA
f006041,남,30,2인 가족 여행,08,스테이 피어 471,강원 방문/수도권/강원 거주/39세 이하/부부/일반미션
f006041,남,30,2인 가족 여행,08,이마트 동해점,강원 방문/수도권/강원 거주/39세 이하/부부/일반미션
f006041,남,30,2인 가족 여행,08,묵호 전망대 활어회센터,강원 방문/수도권/강원 거주/39세 이하/부부/일반미션
f006041,남,30,2인 가족 여행,08,안목 해변,강원 방문/수도권/강원 거주/39세 이하/부부/일반미션
f006041,남,30,2인 가족 여행,08,강릉 중앙시장,강원 방문/수도권/강원 거주/39세 이하/부부/일반미션
f006041,남,30,2인 가족 여행,08,강릉 동화 가든 본점,강원 방문/수도권/강원 거주/39세 이하/부부/일반미션
f006041,남,30,2인 가족 여행,08,서프 팩토리,강원 방문/수도권/강원 거주/39세 이하/부부/일반미션
f006047,여,20,2인 가족 여행,08,피닉스 평창 베이커리 카페,강원 방문/수도권/강원 외 거주/39세 이하/부부/일반미션
f006047,여,20,2인 가족 여행,08,평창 루지 랜드,강원 방문/수도권/강원 외 거주/39세 이하/부부/일반미션
f006047,여,20,2인 가족 여행,08,메밀꽃 향기,강원 방문/수도권/강원 외 거주/39세 이하/부부/일반미션
f006047,여,20,2인 가족 여행,08,국순당 주행로,강원 방문/수도권/강원 외 거주/39세 이하/부부/일반미션
f006047,여,20,2인 가족 여행,08,봉평 전통시장,강원 방문/수도권/강원 외 거주/39세 이하/부부/일반미션
f006047,여,20,2인 가족 여행,08,메밀 스케치,강원 방문/수도권/강원 외 거주/39세 이하/부부/일반미션
f006047,여,20,2인 가족 여행,08,피닉스 평창 스카이 콘도,강원 방문/수도권/강원 외 거주/39세 이하/부부/일반미션
f006047,여,20,2인 가족 여행,08,치악휴게소 춘천 방향,강원 방문/수도권/강원 외 거주/39세 이하/부부/일반미션
f006054,여,20,나홀로 여행,08,경주 시외버스터미널,경북 방문/거주지 구분 없음/39세 이하/특별미션
f006054,여,20,나홀로 여행,08,여미온,경북 방문/거주지 구분 없음/39세 이하/특별미션
f006054,여,20,나홀로 여행,08,천마총,경북 방문/거주지 구분 없음/39세 이하/특별미션
f006054,여,20,나홀로 여행,08,첨성대,경북 방문/거주지 구분 없음/39세 이하/특별미션
