TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,CLUSTER,CLUSTER_NEW
e001519,1,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.1666666666666666,1.0,1.0,16
e001909,0,0.25,0.5,0.1666666666666666,0.5,0.5,0.8333333333333334,0.3333333333333333,1.0,7
e012221,0,0.0,0.6666666666666666,0.1666666666666666,0.8333333333333334,0.1666666666666666,0.8333333333333334,0.8333333333333334,1.0,1
e000715,1,0.25,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,0.5,0.0,9
e001291,0,0.25,0.1666666666666666,0.1666666666666666,0.5,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.0,6
e003783,1,0.25,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,2.0,11
e007603,0,0.25,0.5,0.5,0.5,0.5,0.6666666666666666,0.5,1.0,7
e007452,1,0.0,0.1666666666666666,0.3333333333333333,0.5,0.5,1.0,0.6666666666666666,2.0,5
e000817,0,0.25,0.0,0.0,0.0,0.5,0.5,0.0,2.0,8
e008231,1,0.0,0.6666666666666666,0.5,0.6666666666666666,0.1666666666666666,0.0,0.6666666666666666,0.0,3
e008319,1,0.25,1.0,0.5,0.5,1.0,0.0,0.5,1.0,10
e008250,0,0.5,1.0,0.0,0.0,0.0,0.6666666666666666,0.8333333333333334,2.0,14
e007512,0,0.0,0.3333333333333333,0.1666666666666666,0.8333333333333334,0.3333333333333333,0.8333333333333334,1.0,1.0,1
e003416,1,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,3
e006914,0,0.25,0.1666666666666666,0.1666666666666666,0.6666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,2.0,8
e005418,1,0.0,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,4
e001134,1,0.0,0.8333333333333334,0.0,0.1666666666666666,0.0,1.0,0.0,1.0,4
e006939,1,0.0,0.5,0.1666666666666666,0.5,0.5,0.8333333333333334,0.8333333333333334,2.0,5
e001529,1,0.0,0.5,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,1.0,0.0,3
