TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,CLUSTER
e004720,1,1.0,0.1666666666666666,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,2.0
e000914,1,0.0,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.5,0.0,1.0
e003564,1,0.25,0.0,0.0,0.1666666666666666,0.0,0.0,1.0,2.0
e000396,1,0.25,0.3333333333333333,0.1666666666666666,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,2.0
e001890,0,0.0,0.8333333333333334,0.1666666666666666,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.0
e007797,0,0.25,0.1666666666666666,0.1666666666666666,0.0,0.0,0.5,0.8333333333333334,2.0
e003039,1,0.25,0.1666666666666666,1.0,0.1666666666666666,1.0,0.5,0.6666666666666666,1.0
e000782,0,0.75,0.5,1.0,0.6666666666666666,1.0,0.0,0.1666666666666666,0.0
e008478,1,0.0,0.1666666666666666,0.1666666666666666,0.5,0.5,0.8333333333333334,0.3333333333333333,1.0
e000655,0,0.75,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.1666666666666666,0.0
e006837,1,1.0,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.1666666666666666,1.0,2.0
e008666,0,0.5,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.0
e002058,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
e010598,1,0.0,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.8333333333333334,1.0,1.0
e007838,1,0.25,1.0,1.0,1.0,0.8333333333333334,0.1666666666666666,0.8333333333333334,1.0
e007403,1,0.0,0.8333333333333334,0.5,0.5,0.6666666666666666,0.1666666666666666,0.8333333333333334,0.0
e007169,1,0.5,0.1666666666666666,0.0,0.8333333333333334,0.6666666666666666,0.5,0.8333333333333334,0.0
e001267,0,0.5,0.5,0.1666666666666666,0.1666666666666666,0.6666666666666666,0.1666666666666666,0.8333333333333334,2.0
e005765,0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.1666666666666666,0.0
e001538,0,0.5,0.1666666666666666,0.0,0.0,0.0,0.0,1.0,2.0
e000608,1,0.0,0.5,0.5,0.6666666666666666,0.5,0.8333333333333334,0.8333333333333334,2.0
e003810,1,0.25,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,2.0
e010900,0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.0
e002491,0,0.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0
e000556,0,0.25,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.6666666666666666,0.8333333333333334,1.0
e002389,1,1.0,0.6666666666666666,0.6666666666666666,0.1666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.0
e003334,0,0.25,0.8333333333333334,0.8333333333333334,0.1666666666666666,0.5,1.0,0.5,1.0
e007807,1,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.0
e005532,0,0.75,0.5,0.5,1.0,0.5,0.0,1.0,2.0
