COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,g_g000354,3,1,8,1
1,g_g000357,1,2,5,1
1,g_g000361,1,1,5,1
3,g_g000361,2,1,2,1
2,g_g000361,2,1,2,1
1,g_g000365,7,2,4,1
2,g_g000374,2,2,1,1
1,g_g000374,1,1,5,1
1,g_g000378,8,2,3,1
1,g_g000379,1,2,5,1
2,g_g000379,2,2,2,1
2,g_g000380,2,1,2,1
1,g_g000380,1,1,5,1
1,g_g000384,1,1,4,1
3,g_g000384,2,2,1,1
2,g_g000384,2,2,1,1
1,g_g000387,1,2,6,1
1,g_g000391,1,2,4,1
3,g_g000391,2,1,1,1
2,g_g000391,2,1,1,1
1,g_g000392,8,1,4,3
1,g_g000393,1,1,5,1
2,g_g000394,2,1,1,1
1,g_g000394,3,1,8,2
3,g_g000394,2,1,1,1
2,g_g000396,2,2,2,1
1,g_g000396,1,2,5,1
3,g_g000396,2,2,2,1
1,g_g000397,7,2,4,1
3,g_g000397,11,1,1,1
2,g_g000397,11,1,2,1
2,g_g000399,2,1,1,1
4,g_g000399,3,2,7,1
1,g_g000399,1,1,5,1
3,g_g000399,3,1,7,1
1,g_g000404,1,1,5,1
3,g_g000404,2,1,1,1
2,g_g000404,2,2,2,1
3,g_g000410,11,2,1,3
2,g_g000410,7,2,4,3
1,g_g000410,2,1,1,1
1,g_g000414,8,1,3,1
1,g_g000420,1,1,4,1
2,g_g000420,2,2,4,1
1,g_g000423,1,1,6,1
3,g_g000423,2,1,1,1
2,g_g000423,2,1,2,1
2,g_g000427,2,2,2,1
1,g_g000427,1,1,5,1
3,g_g000427,2,1,1,1
1,g_g000430,8,2,3,3
1,g_g000435,1,2,5,1
3,g_g000435,6,1,5,3
5,g_g000435,6,2,1,3
2,g_g000435,2,2,1,1
4,g_g000435,6,2,4,3
2,g_g000437,2,2,1,1
1,g_g000437,1,2,4,1
1,g_g000441,8,2,4,1
2,g_g000442,7,2,4,1
1,g_g000442,7,2,4,1
3,g_g000443,6,2,1,3
2,g_g000443,5,2,5,3
1,g_g000443,8,1,4,1
1,g_g000447,7,2,4,1
3,g_g000447,9,2,4,2
2,g_g000447,9,1,4,3
2,g_g000453,9,2,7,1
1,g_g000453,9,2,6,1
2,g_g000454,5,2,5,3
