TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,VISIT_AREA_NM,TRAVEL_PERSONA
e008293,여,30,자녀 동반 여행,08,미호,경기 방문/거주지 구분 없음/39세 이하/특별미션
e008293,여,30,자녀 동반 여행,08,스타벅스 의정부 장암 DT점,경기 방문/거주지 구분 없음/39세 이하/특별미션
e008294,여,20,2인 여행(가족 외),08,더 현대 서울,서울 방문/수도권 거주/39세 이하/커플/일반미션
e008294,여,20,2인 여행(가족 외),08,역전 할머니 맥주 서울 숭실대점,서울 방문/수도권 거주/39세 이하/커플/일반미션
e008294,여,20,2인 여행(가족 외),08,미켈레 커피,서울 방문/수도권 거주/39세 이하/커플/일반미션
e008294,여,20,2인 여행(가족 외),08,콘 부 더 현대 서울,서울 방문/수도권 거주/39세 이하/커플/일반미션
e008294,여,20,2인 여행(가족 외),08,리코스타코인노래연습장,서울 방문/수도권 거주/39세 이하/커플/일반미션
e008294,여,20,2인 여행(가족 외),08,불타는 꼬꼬 발 숭실대점,서울 방문/수도권 거주/39세 이하/커플/일반미션
e008295,여,30,나홀로 여행,08,롯데월드타워 롯데월드몰,서울 방문/수도권 거주/39세 이하/나홀로 여행/일반미션
e008295,여,30,나홀로 여행,08,석촌역 8호선,서울 방문/수도권 거주/39세 이하/나홀로 여행/일반미션
e008295,여,30,나홀로 여행,08,석촌호수 서호,서울 방문/수도권 거주/39세 이하/나홀로 여행/일반미션
e008295,여,30,나홀로 여행,08,잠실역 8호선,서울 방문/수도권 거주/39세 이하/나홀로 여행/일반미션
e008295,여,30,나홀로 여행,08,프린스 오브 석촌 레이크,서울 방문/수도권 거주/39세 이하/나홀로 여행/일반미션
e008296,여,20,2인 가족 여행,08,AK플라자 수원,서울 외 수도권 방문/수도권 거주/39세 이하/부부/일반미션
e008296,여,20,2인 가족 여행,08,바비레드 수원점,서울 외 수도권 방문/수도권 거주/39세 이하/부부/일반미션
e008297,여,30,나홀로 여행,08,양화한강공원,서울 방문/거주지 구분 없음/39세 이하/특별미션
e008297,여,30,나홀로 여행,08,허브족발,서울 방문/거주지 구분 없음/39세 이하/특별미션
e008297,여,30,나홀로 여행,08,광장시장,서울 방문/거주지 구분 없음/39세 이하/특별미션
e008297,여,30,나홀로 여행,08,크레도 종로 프리미엄점,서울 방문/거주지 구분 없음/39세 이하/특별미션
e008297,여,30,나홀로 여행,08,국회의사당역 9호선,서울 방문/거주지 구분 없음/39세 이하/특별미션
e008298,여,40,나홀로 여행,08,서현동 카 카페,서울 외 수도권 방문/수도권 거주/40세 이상/나홀로 여행/일반미션
e008298,여,40,나홀로 여행,08,제과점,서울 외 수도권 방문/수도권 거주/40세 이상/나홀로 여행/일반미션
e008298,여,40,나홀로 여행,08,태현공원,서울 외 수도권 방문/수도권 거주/40세 이상/나홀로 여행/일반미션
e008298,여,40,나홀로 여행,08,AK플라자 분당,서울 외 수도권 방문/수도권 거주/40세 이상/나홀로 여행/일반미션
e008298,여,40,나홀로 여행,08,분당중앙공원,서울 외 수도권 방문/수도권 거주/40세 이상/나홀로 여행/일반미션
e008298,여,40,나홀로 여행,08,싸다 김밥 집,서울 외 수도권 방문/수도권 거주/40세 이상/나홀로 여행/일반미션
e008299,여,40,자녀 동반 여행,08,현대석유 현대 셀프주유소,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션
e008299,여,40,자녀 동반 여행,08,후정공원 놀이터 1,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션
e008300,남,30,2인 여행(가족 외),08,사계절 고향 쌈밥,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션
e008300,남,30,2인 여행(가족 외),08,논 스페이스,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션
e008300,남,30,2인 여행(가족 외),08,테르메덴,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션
e008300,남,30,2인 여행(가족 외),08,스노 망고,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션
e008300,남,30,2인 여행(가족 외),08,감치래 비빔국수 본점,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션
e008301,남,30,자녀 동반 여행,08,평양면옥 송추 본점,경기 방문/거주지 구분 없음/39세 이하/특별미션
e008301,남,30,자녀 동반 여행,08,송추계곡,경기 방문/거주지 구분 없음/39세 이하/특별미션
e008302,여,30,나홀로 여행,08,C27,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션
e008302,여,30,나홀로 여행,08,호밀 호두 의정부역점,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션
e008302,여,30,나홀로 여행,08,의정부시 퓨전문화 관광 홍보관,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션
e008302,여,30,나홀로 여행,08,후기숙 할머니 원조 어묵 식당 의정부 본점,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션
e008302,여,30,나홀로 여행,08,의정부 제일시장,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션
e008303,남,40,2인 가족 여행,08,도곡 햇살 소공원,서울 방문/수도권 거주/40세 이상/부부/일반미션
e008303,남,40,2인 가족 여행,08,테라로사 포스코센터점,서울 방문/수도권 거주/40세 이상/부부/일반미션
e008303,남,40,2인 가족 여행,08,롯데백화점 강남점,서울 방문/수도권 거주/40세 이상/부부/일반미션
e008304,여,30,자녀 동반 여행,08,킨텍스 제2전시장 7홀,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션
e008304,여,30,자녀 동반 여행,08,킨텍스 제2전시장 6홀,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션
e008304,여,30,자녀 동반 여행,08,맛나 반점,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션
e008305,남,50,나홀로 여행,08,황어장터 삼일 만세운동 기념관,서울 외 수도권 방문/수도권 거주/40세 이상/나홀로 여행/일반미션
e008305,남,50,나홀로 여행,08,컴포즈커피 인천 장기범,서울 외 수도권 방문/수도권 거주/40세 이상/나홀로 여행/일반미션
e008305,남,50,나홀로 여행,08,롯데몰 김포공항점,서울 외 수도권 방문/수도권 거주/40세 이상/나홀로 여행/일반미션
e008305,남,50,나홀로 여행,08,장기리 추어탕,서울 외 수도권 방문/수도권 거주/40세 이상/나홀로 여행/일반미션
e008307,여,50,3인 이상 여행(가족 외),08,하뫼울,서울 외 수도권 방문/수도권 거주/40세 이상/3인 이상 친구/일반미션
e008309,남,60,3인 이상 여행(가족 외),08,행주산성,서울 외 수도권 방문/수도권 거주/40세 이상/3인 이상 친구/일반미션
e008309,남,60,3인 이상 여행(가족 외),08,강민주의 들밥 김포점,서울 외 수도권 방문/수도권 거주/40세 이상/3인 이상 친구/일반미션
e008309,남,60,3인 이상 여행(가족 외),08,강남구청역 7호선,서울 외 수도권 방문/수도권 거주/40세 이상/3인 이상 친구/일반미션
e008309,남,60,3인 이상 여행(가족 외),08,포지티브 스페이스 566,서울 외 수도권 방문/수도권 거주/40세 이상/3인 이상 친구/일반미션
e008310,남,30,나홀로 여행,08,신작로 근대 거리,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션
e008310,남,30,나홀로 여행,08,동네 분식,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션
e008310,남,30,나홀로 여행,08,고등동성당,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션
e008310,남,30,나홀로 여행,08,스타벅스 수원 화성행궁점,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션
e008310,남,30,나홀로 여행,08,방화수류정,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션
e008310,남,30,나홀로 여행,08,아우어 베이커리 광교 앨리 웨이점,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션
e008310,남,30,나홀로 여행,08,코우도 광교앨리웨이호수공원점,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션
e008310,남,30,나홀로 여행,08,수원 화성 화홍문,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션
e008311,여,40,자녀 동반 여행,08,스타벅스 광교 SK 뷰 레이크 41F 점,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션
e008311,여,40,자녀 동반 여행,08,광교복합체육센터,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션
e008311,여,40,자녀 동반 여행,08,고기리 막국수,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션
e008312,여,30,부모 동반 여행,08,논밭길,서울 외 수도권 방문/수도권 거주/39세 이하/부모 동반/일반미션
e008312,여,30,부모 동반 여행,08,고등어 사랑,서울 외 수도권 방문/수도권 거주/39세 이하/부모 동반/일반미션
e008312,여,30,부모 동반 여행,08,마루 정원 제빵소,서울 외 수도권 방문/수도권 거주/39세 이하/부모 동반/일반미션
e008313,남,60,2인 가족 여행,08,문지리 535,서울 외 수도권 방문/수도권 거주/40세 이상/부부/일반미션
e008313,남,60,2인 가족 여행,08,임진각 평화누리,서울 외 수도권 방문/수도권 거주/40세 이상/부부/일반미션
e008319,여,30,자녀 동반 여행,08,긴자 료코 파주 야당점,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션
e008320,여,30,나홀로 여행,08,성남중앙 칼국수,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션
e008320,여,30,나홀로 여행,08,투썸플레이스 성남 태평역점,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션
e008320,여,30,나홀로 여행,08,성남 큐브미술관,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션
e008320,여,30,나홀로 여행,08,알라딘 중고서점 분당 야탑점,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션
e008320,여,30,나홀로 여행,08,성남중앙공설시장,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션
e008321,여,30,자녀 동반 여행,08,롯데 프리미엄 아울렛 기흥점,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션
e008321,여,30,자녀 동반 여행,08,로스트 포레스트,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션
e008321,여,30,자녀 동반 여행,08,용인자연휴양림,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션
e008322,남,30,자녀 동반 여행,08,리숨두부,서울 방문/수도권 거주/39세 이하/자녀동반/일반미션
e008322,남,30,자녀 동반 여행,08,못골 한옥어린이 도서관,서울 방문/수도권 거주/39세 이하/자녀동반/일반미션
e008322,남,30,자녀 동반 여행,08,용인 어린이 상상의 숲,서울 방문/수도권 거주/39세 이하/자녀동반/일반미션
e008322,남,30,자녀 동반 여행,08,면포 도궁,서울 방문/수도권 거주/39세 이하/자녀동반/일반미션
e008323,여,40,3인 이상 여행(가족 외),08,네이처독,경기 방문/거주지 구분 없음/39세 이하/특별미션
e008323,여,40,3인 이상 여행(가족 외),08,도깨비방망이,경기 방문/거주지 구분 없음/39세 이하/특별미션
e008324,여,20,2인 가족 여행,08,갤러리아백화점 광교점,서울 외 수도권 방문/수도권 거주/39세 이하/부부/일반미션
e008324,여,20,2인 가족 여행,08,광교호수공원,서울 외 수도권 방문/수도권 거주/39세 이하/부부/일반미션
e008326,여,40,자녀 동반 여행,08,비스타 워커힐 서울 피자힐,서울 방문/거주지 구분 없음/40세 이상/특별미션
e008326,여,40,자녀 동반 여행,08,비스타 워커힐 서울,서울 방문/거주지 구분 없음/40세 이상/특별미션
e008328,남,30,자녀 동반 여행,08,국립과천과학관,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션
e008328,남,30,자녀 동반 여행,08,속초 코다리 본가 과천점,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션
e008329,남,40,2인 가족 여행,08,메콩,서울 외 수도권 방문/수도권 거주/40세 이상/부부/일반미션
e008329,남,40,2인 가족 여행,08,스타필드 하남,서울 외 수도권 방문/수도권 거주/40세 이상/부부/일반미션
e008330,여,60,2인 여행(가족 외),08,서울역,서울 방문/수도권 외 거주/40세 이상/나홀로 여행/일반미션
e008330,여,60,2인 여행(가족 외),08,투스크,서울 방문/수도권 외 거주/40세 이상/나홀로 여행/일반미션
e008330,여,60,2인 여행(가족 외),08,나이키 더 현대 서울점,서울 방문/수도권 외 거주/40세 이상/나홀로 여행/일반미션
e008330,여,60,2인 여행(가족 외),08,복만루,서울 방문/수도권 외 거주/40세 이상/나홀로 여행/일반미션
e008330,여,60,2인 여행(가족 외),08,누님 주얼리 더 현대 서울점,서울 방문/수도권 외 거주/40세 이상/나홀로 여행/일반미션
e008330,여,60,2인 여행(가족 외),08,얼큰 수제비,서울 방문/수도권 외 거주/40세 이상/나홀로 여행/일반미션
e008330,여,60,2인 여행(가족 외),08,스타벅스 대전 월평점,서울 방문/수도권 외 거주/40세 이상/나홀로 여행/일반미션
e008330,여,60,2인 여행(가족 외),08,더 현대 서울,서울 방문/수도권 외 거주/40세 이상/나홀로 여행/일반미션
e008330,여,60,2인 여행(가족 외),08,서울고속버스터미널(경부),서울 방문/수도권 외 거주/40세 이상/나홀로 여행/일반미션
e008332,여,30,자녀 동반 여행,08,에버랜드,서울 외 수도권 방문/수도권 외 거주/39세 이하/자녀동반/일반미션
e008332,여,30,자녀 동반 여행,08,CU 용인 에버랜드점,서울 외 수도권 방문/수도권 외 거주/39세 이하/자녀동반/일반미션
e008332,여,30,자녀 동반 여행,08,오늘 손두부,서울 외 수도권 방문/수도권 외 거주/39세 이하/자녀동반/일반미션
e008332,여,30,자녀 동반 여행,08,지고바 대소점,서울 외 수도권 방문/수도권 외 거주/39세 이하/자녀동반/일반미션
e008333,여,30,자녀 동반 여행,08,고양어린이 박물관,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션
e008334,여,40,나홀로 여행,08,답십리 굴다리 지하차도,서울 방문/수도권 거주/40세 이상/나홀로 여행/일반미션
e008334,여,40,나홀로 여행,08,송산역 의정부 경전철,서울 방문/수도권 거주/40세 이상/나홀로 여행/일반미션
e008334,여,40,나홀로 여행,08,스타벅스 경동 196점,서울 방문/수도권 거주/40세 이상/나홀로 여행/일반미션
e008334,여,40,나홀로 여행,08,회룡역 1호선,서울 방문/수도권 거주/40세 이상/나홀로 여행/일반미션
e008334,여,40,나홀로 여행,08,서울약령 시장,서울 방문/수도권 거주/40세 이상/나홀로 여행/일반미션
e008334,여,40,나홀로 여행,08,롯데시네마 청량리,서울 방문/수도권 거주/40세 이상/나홀로 여행/일반미션
e008334,여,40,나홀로 여행,08,바불리 옛날 왕만두 청량리역점,서울 방문/수도권 거주/40세 이상/나홀로 여행/일반미션
e008334,여,40,나홀로 여행,08,할머니 냉면,서울 방문/수도권 거주/40세 이상/나홀로 여행/일반미션
