GENDER,AGE_GRP,CLUSTER,MAE,MSE,R2
0,0.0,0.0,0.26685280373831777,0.3122983730529595,0.5270028014573755
0,0.0,1.0,0.28329317269076304,0.29129036144578313,0.5685265109389651
0,0.0,2.0,0.30542340791738376,0.29758177452667817,0.5841151231234836
0,0.25,0.0,0.3013411764705882,0.3357136470588235,0.5406678268971473
0,0.25,1.0,0.237570766227428,0.27622330100048803,0.5956242814718983
0,0.25,2.0,0.24129716981132077,0.23480355083857446,0.6223751093139784
0,0.5,0.0,0.25960999329309187,0.30890256884561335,0.5199359218325634
0,0.5,1.0,0.2224915824915825,0.2073993265993266,0.65756051212938
0,0.5,2.0,0.23224282845668384,0.2046763560978608,0.6877215177103897
0,0.75,0.0,0.25721513605442176,0.201470808531746,0.649517611712378
0,0.75,1.0,0.23069306930693068,0.33425742574257417,0.5456682211858761
0,0.75,2.0,0.23354497354497356,0.29781481481481487,0.6752276529490779
0,1.0,0.0,0.17703124999999997,0.13861406250000002,0.6714333333333333
0,1.0,1.0,0.4422093023255815,0.7234174418604652,0.2765825581395348
0,1.0,2.0,0.3843478260869565,0.6646521739130435,0.40025415778251594
1,0.0,0.0,0.24363095238095236,0.22505229591836734,0.6337429744490116
1,0.0,1.0,0.2873142284951364,0.27055986288672124,0.5950473463547475
1,0.0,2.0,0.27189726334679226,0.2570456541049798,0.5614413336990518
1,0.25,0.0,0.26098444444444446,0.2554063648148148,0.5778115654389846
1,0.25,1.0,0.3026418439716312,0.36916613475177307,0.4339400401056629
1,0.25,2.0,0.24628435839028093,0.23236873165021515,0.6233368084769099
1,0.5,0.0,0.24583333333333332,0.2661888095238096,0.6100639766149859
1,0.5,1.0,0.2056069958847736,0.17286692215363514,0.7162961567852997
1,0.5,2.0,0.2110576923076923,0.1984865319884364,0.7123209451871471
1,0.75,0.0,0.1703448275862069,0.12969827586206897,0.7146351633078527
1,0.75,1.0,0.2199492385786802,0.2460035532994924,0.6429369474156631
1,0.75,2.0,0.16812734082397002,0.1324625468164794,0.7660856452811493
1,1.0,0.0,0.2128409090909091,0.1401284090909091,0.7202489301366332
1,1.0,1.0,0.19431578947368414,0.16436210526315792,0.6542265734265734
1,1.0,2.0,0.25351851851851853,0.1570351851851852,0.6693757400722021
