GENDER,AGE_GRP,CLUSTER,MAE,MSE,R2
0,0.0,0.0,0.5374888462394303,0.6485808836838668,0.01767998977456875
0,0.0,1.0,0.5772904953145916,0.7076183222891567,-0.04815876820025222
0,0.0,2.0,0.5575994180804851,0.7075357672956158,0.011184653578006798
0,0.25,0.0,0.6055411764705882,0.7730947647058823,-0.05776843270410703
0,0.25,1.0,0.558001952171791,0.713639510086221,-0.04472898780051948
0,0.25,2.0,0.5461320754716981,0.6493995283018869,-0.044402544215131234
0,0.5,0.0,0.570663145539906,0.6439364534428794,-0.0007387153680973313
0,0.5,1.0,0.5318204264870932,0.611760102506547,-0.010084360624438515
0,0.5,2.0,0.5674988525530694,0.6060668863617737,0.07531260059880196
0,0.75,0.0,0.5037134353741497,0.4533335375566894,0.21137249564018545
0,0.75,1.0,0.5410891089108911,0.6979653465346535,0.05130652898067933
0,0.75,2.0,0.5195767195767195,0.6962624338624339,0.24071344486506274
0,1.0,0.0,0.42609375000000005,0.36480781250000005,0.13527037037037026
0,1.0,1.0,0.7053488372093024,1.1883395348837211,-0.18833953488372113
0,1.0,2.0,0.6477173913043478,1.148732608695652,-0.0365536034115137
1,0.0,0.0,0.5431225907029479,0.5967379597741874,0.028850297712417983
1,0.0,1.0,0.6078525335367791,0.691726234407025,-0.03532124547402882
1,0.0,2.0,0.5850437415881561,0.6008216151114103,-0.02509232115018656
1,0.25,0.0,0.5501655555555555,0.5887123818148148,0.02685448318684014
1,0.25,1.0,0.5957322695035461,0.6669021182033098,-0.022592677785705062
1,0.25,2.0,0.5327513287775246,0.5749205963047329,0.06806985114299346
1,0.5,0.0,0.5413218253968254,0.6161004246693123,0.09748366194980296
1,0.5,1.0,0.5096695473251028,0.5774995338134431,0.05222563601867036
1,0.5,2.0,0.5425824175824177,0.5350656093360421,0.22449565109221892
1,0.75,0.0,0.5305711206896552,0.4785466026101533,-0.052908160850626995
1,0.75,1.0,0.5513705583756345,0.6538964467005076,0.05089882564140924
1,0.75,2.0,0.6126541822721598,0.675223947565543,-0.19237156299232128
1,1.0,0.0,0.5364772727272729,0.5304738636363637,-0.0590331528744521
1,1.0,1.0,0.45884210526315794,0.4066094736842106,0.14460361305361302
1,1.0,2.0,0.5253703703703705,0.5169537037037037,-0.08840216606498208
