antecedents,consequents,support,confidence
frozenset({'CLUSTER_22'}),frozenset({'금능해수욕장'}),0.0004981733643307871,0.03529411764705882
frozenset({'CLUSTER_22'}),frozenset({'서귀포 매일 올레시장'}),0.0011624045167718366,0.08235294117647059
frozenset({'CLUSTER_22'}),frozenset({'제주동문시장'}),0.0004981733643307871,0.03529411764705882
frozenset({'첨성대'}),frozenset({'CLUSTER_12'}),0.0006642311524410495,0.03125
frozenset({'CLUSTER_12'}),frozenset({'첨성대'}),0.0006642311524410495,0.032520325203252036
frozenset({'CLUSTER_12'}),frozenset({'속초관광수산시장'}),0.0006642311524410495,0.032520325203252036
frozenset({'속초관광수산시장'}),frozenset({'CLUSTER_12'}),0.0006642311524410495,0.032
frozenset({'CLUSTER_12'}),frozenset({'협재해수욕장'}),0.0009963467286615742,0.048780487804878044
frozenset({'협재해수욕장'}),frozenset({'CLUSTER_12'}),0.0009963467286615742,0.031914893617021274
frozenset({'CLUSTER_12'}),frozenset({'제주동문시장'}),0.0008302889405513118,0.04065040650406504
frozenset({'CLUSTER_12'}),frozenset({'성산일출봉'}),0.0009963467286615742,0.048780487804878044
frozenset({'성산일출봉'}),frozenset({'CLUSTER_12'}),0.0009963467286615742,0.03896103896103896
frozenset({'CLUSTER_12'}),frozenset({'서귀포 매일 올레시장'}),0.0008302889405513118,0.04065040650406504
frozenset({'제주동문시장'}),frozenset({'CLUSTER_6'}),0.0014945200929923613,0.0303030303030303
frozenset({'CLUSTER_6'}),frozenset({'제주동문시장'}),0.0014945200929923613,0.0375
frozenset({'서귀포 매일 올레시장'}),frozenset({'CLUSTER_6'}),0.0028229823978744603,0.06137184115523466
frozenset({'CLUSTER_6'}),frozenset({'서귀포 매일 올레시장'}),0.0028229823978744603,0.07083333333333333
frozenset({'서귀포 매일 올레시장'}),frozenset({'CLUSTER_16'}),0.0014945200929923613,0.03249097472924188
frozenset({'CLUSTER_16'}),frozenset({'서귀포 매일 올레시장'}),0.0014945200929923613,0.058064516129032254
frozenset({'협재해수욕장'}),frozenset({'CLUSTER_16'}),0.0014945200929923613,0.047872340425531915
frozenset({'CLUSTER_16'}),frozenset({'협재해수욕장'}),0.0014945200929923613,0.058064516129032254
frozenset({'함덕해수욕장'}),frozenset({'CLUSTER_16'}),0.001328462304882099,0.03524229074889868
frozenset({'CLUSTER_16'}),frozenset({'함덕해수욕장'}),0.001328462304882099,0.05161290322580646
frozenset({'첨성대'}),frozenset({'CLUSTER_14'}),0.0006642311524410495,0.03125
frozenset({'CLUSTER_14'}),frozenset({'첨성대'}),0.0006642311524410495,0.03174603174603175
frozenset({'CLUSTER_14'}),frozenset({'대릉원'}),0.0006642311524410495,0.03174603174603175
frozenset({'성산일출봉'}),frozenset({'CLUSTER_14'}),0.0008302889405513118,0.032467532467532464
frozenset({'CLUSTER_14'}),frozenset({'성산일출봉'}),0.0008302889405513118,0.03968253968253969
frozenset({'서귀포 매일 올레시장'}),frozenset({'CLUSTER_14'}),0.0019926934573231483,0.04332129963898917
frozenset({'CLUSTER_14'}),frozenset({'서귀포 매일 올레시장'}),0.0019926934573231483,0.09523809523809523
frozenset({'CLUSTER_14'}),frozenset({'함덕해수욕장'}),0.0009963467286615742,0.047619047619047616
frozenset({'CLUSTER_25'}),frozenset({'에버랜드'}),0.00016605778811026238,0.07692307692307693
frozenset({'CLUSTER_25'}),frozenset({'국립경주박물관'}),0.00016605778811026238,0.07692307692307693
frozenset({'CLUSTER_25'}),frozenset({'대릉원'}),0.00016605778811026238,0.07692307692307693
frozenset({'CLUSTER_25'}),frozenset({'경포해수욕장'}),0.00033211557622052476,0.15384615384615385
frozenset({'경포해수욕장'}),frozenset({'CLUSTER_25'}),0.00033211557622052476,0.03125
frozenset({'CLUSTER_25'}),frozenset({'강릉 중앙시장'}),0.00016605778811026238,0.07692307692307693
frozenset({'CLUSTER_25'}),frozenset({'불국사'}),0.00016605778811026238,0.07692307692307693
