TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_STATUS_ACCOMPANY,VISIT_AREA_NM,CLUSTER_NEW
f015525,0,0.75,2인 가족 여행,아리랑 센터,19
f015525,0,0.75,2인 가족 여행,나전역카페,19
f015877,1,0.0,나홀로 여행,창원 습지공원,4
f015877,1,0.0,나홀로 여행,관 클라이밍,4
e000003,0,0.5,자녀 동반 여행,김천종합운동장,14
f001315,0,0.25,자녀 동반 여행,나정고운모래해변,6
f001315,0,0.25,자녀 동반 여행,경북 천년숲정원,6
f001315,0,0.25,자녀 동반 여행,경상북도 산림환경연구원,6
f007958,0,0.5,자녀 동반 여행,속초해수욕장,13
f007958,0,0.5,자녀 동반 여행,롯데리조트 속초 워터파크,13
f007958,0,0.5,자녀 동반 여행,속초관광수산시장,13
f000981,0,0.5,자녀 동반 여행,충청북도 자연과학교육원,13
f000981,0,0.5,자녀 동반 여행,착한 셀프주유소,13
f000981,0,0.5,자녀 동반 여행,흑석사,13
f000981,0,0.5,자녀 동반 여행,영주댐 전망대,13
f000981,0,0.5,자녀 동반 여행,K-water 영주댐 물 문화관,13
f000981,0,0.5,자녀 동반 여행,예천 박물관,13
f000981,0,0.5,자녀 동반 여행,봉성 초등학교,13
f000981,0,0.5,자녀 동반 여행,오며가,13
f000981,0,0.5,자녀 동반 여행,한울 에너지팜,13
f000981,0,0.5,자녀 동반 여행,국립 해양과학관,13
f000981,0,0.5,자녀 동반 여행,인삼 박물관,13
f000981,0,0.5,자녀 동반 여행,블록 여행,13
f000801,1,0.5,2인 가족 여행,춘천 풍물시장,17
f000801,1,0.5,2인 가족 여행,의암공원,17
f003254,1,0.5,2인 가족 여행,원주 도레미 시장,15
f003254,1,0.5,2인 가족 여행,강원랜드,15
f004790,1,0.0,부모 동반 여행,솥골,4
f004790,1,0.0,부모 동반 여행,억지 춘양시장,4
f012415,1,0.25,2인 여행(가족 외),낙산 해변,10
f012415,1,0.25,2인 여행(가족 외),기사문해수욕장,10
f012415,1,0.25,2인 여행(가족 외),송지호해수욕장,10
f000932,1,0.0,부모 동반 여행,갈남항,4
f000932,1,0.0,부모 동반 여행,원덕농협 하나로마트 본점,4
f000932,1,0.0,부모 동반 여행,영신 횟집,4
f000932,1,0.0,부모 동반 여행,삼척 해양레일바이크 용화 정거장,4
f000932,1,0.0,부모 동반 여행,장호항,4
f000787,0,0.0,2인 가족 여행,병방치 스카이워크,2
f000972,1,0.5,3인 이상 여행(가족 외),바다정원,15
f000972,1,0.5,3인 이상 여행(가족 외),영금정,15
f000972,1,0.5,3인 이상 여행(가족 외),속초해수욕장,15
f000972,1,0.5,3인 이상 여행(가족 외),인생 네 컷 속초해수욕장,15
f000972,1,0.5,3인 이상 여행(가족 외),속초관광수산시장,15
f002840,1,0.5,2인 여행(가족 외),스타벅스 통영 이마트점,17
f002840,1,0.5,2인 여행(가족 외),해운대 블루라인,17
f002840,1,0.5,2인 여행(가족 외),해운대 블루라인파크 미포 정거장,17
f002840,1,0.5,2인 여행(가족 외),청사포 다릿돌 전망대,17
f002840,1,0.5,2인 여행(가족 외),White Rock,17
f002840,1,0.5,2인 여행(가족 외),해운대해수욕장,17
f002840,1,0.5,2인 여행(가족 외),핑거스앤쳇,17
f002840,1,0.5,2인 여행(가족 외),광안리해수욕장,17
f001485,0,1.0,3인 이상 여행(가족 외),추암 촛대바위,24
f001485,0,1.0,3인 이상 여행(가족 외),추암 촛대바위 출렁다리,24
f001485,0,1.0,3인 이상 여행(가족 외),추암해수욕장,24
f001485,0,1.0,3인 이상 여행(가족 외),동해해 암정,24
f001485,0,1.0,3인 이상 여행(가족 외),증산 해변,24
f001485,0,1.0,3인 이상 여행(가족 외),삼척 해양레일바이크 궁촌정거장,24
f001485,0,1.0,3인 이상 여행(가족 외),삼척 중앙시장,24
f001485,0,1.0,3인 이상 여행(가족 외),환선굴,24
f001485,0,1.0,3인 이상 여행(가족 외),수로부인 헌화 공원,24
f001485,0,1.0,3인 이상 여행(가족 외),삼척 해상 케이블카 용화역,24
f001485,0,1.0,3인 이상 여행(가족 외),죽서루,24
f001485,0,1.0,3인 이상 여행(가족 외),천은사,24
f001485,0,1.0,3인 이상 여행(가족 외),삼화사,24
f008603,1,0.5,2인 가족 여행,안동 중앙 신시장,15
f008603,1,0.5,2인 가족 여행,모디 684,15
f006157,1,0.0,2인 여행(가족 외),하버 스퀘어,3
f006157,1,0.0,2인 여행(가족 외),다랭이마을,3
f006157,1,0.0,2인 여행(가족 외),남해 독일마을,3
f006157,1,0.0,2인 여행(가족 외),돌창고,3
f006157,1,0.0,2인 여행(가족 외),스카이라인 루지 통영,3
f001257,1,0.0,2인 가족 여행,부산 현대미술관,3
f001257,1,0.0,2인 가족 여행,을숙도 철새공원,3
f001257,1,0.0,2인 가족 여행,광안리해수욕장,3
f001257,1,0.0,2인 가족 여행,비트 포비아 서면 던전점,3
f001257,1,0.0,2인 가족 여행,부산 시민공원,3
f000739,1,0.75,자녀 동반 여행,장항 해수풀장,22
f000739,1,0.75,자녀 동반 여행,남해서 떼,22
f015952,1,0.0,3인 이상 여행(가족 외),대릉원,3
f015952,1,0.0,3인 이상 여행(가족 외),황련단길,3
f000599,1,0.25,2인 여행(가족 외),SK 렌터카 강릉지점,11
f000599,1,0.25,2인 여행(가족 외),사근 진해 중공원 전망대,11
f000599,1,0.25,2인 여행(가족 외),안목 해변,11
f000599,1,0.25,2인 여행(가족 외),바루 서프,11
f000599,1,0.25,2인 여행(가족 외),서피 비치,11
f000599,1,0.25,2인 여행(가족 외),전은경 서프 카페,11
f000599,1,0.25,2인 여행(가족 외),아르떼 뮤지엄 강릉,11
f000599,1,0.25,2인 여행(가족 외),강릉 중앙시장,11
f001058,1,0.25,나홀로 여행,흰 여울 문화마을,10
f001058,1,0.25,나홀로 여행,중리 노을 전망대,10
f001058,1,0.25,나홀로 여행,부산타워,10
f001058,1,0.25,나홀로 여행,부평 깡통시장,10
f001058,1,0.25,나홀로 여행,자갈치시장,10
f001058,1,0.25,나홀로 여행,부산역,10
f001596,1,0.25,자녀 동반 여행,히어로 플레이파크 경주 본점,10
f001596,1,0.25,자녀 동반 여행,와우쥬,10
f002885,1,0.5,3인 이상 여행(가족 외),죽도 시장,16
f008190,0,0.25,2인 여행(가족 외),정동진 레일바이크,6
f008190,0,0.25,2인 여행(가족 외),강릉 중앙시장,6
f008190,0,0.25,2인 여행(가족 외),강릉 월화 거리,6
f008190,0,0.25,2인 여행(가족 외),사근 긴 해변,6
f008190,0,0.25,2인 여행(가족 외),경포대,6
f008190,0,0.25,2인 여행(가족 외),아르떼 뮤지엄 강릉,6
f007746,0,0.5,2인 여행(가족 외),영일대해수욕장,12
f007746,0,0.5,2인 여행(가족 외),환호공원 스페이스 워크,12
f007746,0,0.5,2인 여행(가족 외),죽도 시장,12
f004159,1,0.25,2인 여행(가족 외),대릉원,11
f004159,1,0.25,2인 여행(가족 외),동궁과 월지,11
f012618,0,0.0,2인 여행(가족 외),경포해수욕장,2
f012618,0,0.0,2인 여행(가족 외),강릉 중앙시장,2
f012618,0,0.0,2인 여행(가족 외),허균 허난설헌 기념관,2
f012618,0,0.0,2인 여행(가족 외),아르떼 뮤지엄 강릉,2
f004888,0,0.0,2인 여행(가족 외),KTG 상상마당 부산,0
f004888,0,0.0,2인 여행(가족 외),프루토프루타,0
f004888,0,0.0,2인 여행(가족 외),광안리해수욕장,0
f003880,0,0.75,자녀 동반 여행,산토리니,19
f003880,0,0.75,자녀 동반 여행,춘천 꿈 자람 어린이공원,19
f003880,0,0.75,자녀 동반 여행,춘천역 던킨도너츠,19
f016021,1,0.0,3인 이상 여행(가족 외),한강공원 광나루지구,3
f016021,1,0.0,3인 이상 여행(가족 외),소양강 스카이워크,3
f016021,1,0.0,3인 이상 여행(가족 외),춘천 삼악산 호수 케이블카,3
f016733,1,0.0,나홀로 여행,대구미술관,3
f000362,0,0.0,2인 가족 여행,소양강댐 정상 주차장,1
f011809,1,0.25,2인 여행(가족 외),대포항,9
f011809,1,0.25,2인 여행(가족 외),스포츠 넥스트 레벨,9
f011809,1,0.25,2인 여행(가족 외),속초해수욕장,9
f011809,1,0.25,2인 여행(가족 외),설악 케이블카,9
f011809,1,0.25,2인 여행(가족 외),신흥사,9
f011809,1,0.25,2인 여행(가족 외),속초관광수산시장,9
f011809,1,0.25,2인 여행(가족 외),속초 아이,9
f005372,0,0.5,자녀 동반 여행,석굴암,12
f005372,0,0.5,자녀 동반 여행,불국사,12
f005372,0,0.5,자녀 동반 여행,경주월드,12
f003594,0,0.5,자녀 동반 여행,상주 보수상 레저센터,12
f003594,0,0.5,자녀 동반 여행,상주 자전거 박물관,12
f003594,0,0.5,자녀 동반 여행,경천서 공원,12
f003594,0,0.5,자녀 동반 여행,상주국제승마장 실내승마장,12
f003594,0,0.5,자녀 동반 여행,전사벌왕릉,12
f012637,0,0.0,2인 여행(가족 외),안동 구 시장,0
f012637,0,0.0,2인 여행(가족 외),병산서원,0
f012637,0,0.0,2인 여행(가족 외),안동 하회마을,0
f012637,0,0.0,2인 여행(가족 외),안동 하회마을 만송정 숲,0
f012637,0,0.0,2인 여행(가족 외),월영교,0
f012637,0,0.0,2인 여행(가족 외),주로 피움,0
f012637,0,0.0,2인 여행(가족 외),군위휴게소 춘천 방향,0
f012637,0,0.0,2인 여행(가족 외),강천산 휴게소 광주방향,0
f005393,1,0.0,부모 동반 여행,피닉스 평창 블루캐니언,5
f005393,1,0.0,부모 동반 여행,피닉스 평창 곤돌라,5
f005393,1,0.0,부모 동반 여행,대관령 삼양목장,5
f005393,1,0.0,부모 동반 여행,양평 휴게소 광주방향,5
f001381,1,0.75,2인 가족 여행,삼성궁,22
f001381,1,0.75,2인 가족 여행,최참판댁,22
f001381,1,0.75,2인 가족 여행,화개 장터,22
f001381,1,0.75,2인 가족 여행,223 하동 세계 차 엑스포 제2행사장,22
f012459,0,0.0,2인 여행(가족 외),경포해수욕장,0
f012459,0,0.0,2인 여행(가족 외),바이크 스토리,0
f008198,0,0.25,2인 여행(가족 외),서면 미술관,7
f008198,0,0.25,2인 여행(가족 외),광안리해수욕장,7
f008198,0,0.25,2인 여행(가족 외),이케아 동부산점,7
f008198,0,0.25,2인 여행(가족 외),해운대해수욕장,7
f009153,1,0.0,3인 이상 여행(가족 외),키와,5
f009153,1,0.0,3인 이상 여행(가족 외),포토 이즘 박스 황리단길점,5
f009153,1,0.0,3인 이상 여행(가족 외),황남쫀드기 대릉원점,5
f009153,1,0.0,3인 이상 여행(가족 외),월정교,5
f002621,0,0.5,자녀 동반 여행,거제 식물원 정글돔,13
f002621,0,0.5,자녀 동반 여행,스카이라인 루지 부산,13
f005680,1,0.0,2인 여행(가족 외),행리단길,3
f005680,1,0.0,2인 여행(가족 외),해운대해수욕장,3
f005680,1,0.0,2인 여행(가족 외),청사포 다릿돌 전망대,3
f005680,1,0.0,2인 여행(가족 외),광안리해수욕장,3
f005680,1,0.0,2인 여행(가족 외),밀란 더 마켓,3
f005680,1,0.0,2인 여행(가족 외),광복로 패션거리,3
f005680,1,0.0,2인 여행(가족 외),국제시장,3
f005680,1,0.0,2인 여행(가족 외),감천문화마을,3
f005680,1,0.0,2인 여행(가족 외),용두산공원,3
f003562,1,0.0,2인 여행(가족 외),황련단길,5
f003562,1,0.0,2인 여행(가족 외),대릉원,5
f003252,1,0.5,나홀로 여행,서문시장,17
f003252,1,0.5,나홀로 여행,대구근대화 골목,17
f004513,0,0.25,2인 가족 여행,월정교,7
f004513,0,0.25,2인 가족 여행,경주 꽃빵,7
f004513,0,0.25,2인 가족 여행,동궁과 월지,7
f004513,0,0.25,2인 가족 여행,씨네 Q 경주 보문,7
f004513,0,0.25,2인 가족 여행,스쿠터,7
f015574,1,0.5,2인 여행(가족 외),자전거 카페 오후,15
f015574,1,0.5,2인 여행(가족 외),공지천 조각 공원,15
f015574,1,0.5,2인 여행(가족 외),KTG 상상마당 춘천,15
f015574,1,0.5,2인 여행(가족 외),춘천 삼악산 호수 케이블카,15
f015574,1,0.5,2인 여행(가족 외),소양강 처녀상,15
f011139,0,0.0,2인 여행(가족 외),사천진 해변,2
f000951,1,0.0,2인 여행(가족 외),무섬마을 관광안내소,4
f000951,1,0.0,2인 여행(가족 외),무섬마을,4
f000947,0,0.75,자녀 동반 여행,속초관광수산시장,18
f000947,0,0.75,자녀 동반 여행,설악워터피아,18
f000947,0,0.75,자녀 동반 여행,낙산사,18
f000947,0,0.75,자녀 동반 여행,원주시립중앙도서관,18
f000333,0,0.25,부모 동반 여행,해운대 모래축제,7
f000333,0,0.25,부모 동반 여행,해운대 구남로,7
f000333,0,0.25,부모 동반 여행,동백섬,7
f000333,0,0.25,부모 동반 여행,더베이,7
f000333,0,0.25,부모 동반 여행,해운대 블루라인파크 미포 정거장,7
f008805,1,0.0,2인 여행(가족 외),신세계백화점 센텀시티점,4
f008805,1,0.0,2인 여행(가족 외),광안리해수욕장,4
f008805,1,0.0,2인 여행(가족 외),밀란 더 마켓,4
f008805,1,0.0,2인 여행(가족 외),KTG 상상마당 부산,4
f008805,1,0.0,2인 여행(가족 외),짱 오락실 부산 서면점,4
f008805,1,0.0,2인 여행(가족 외),전포 카페거리,4
f008805,1,0.0,2인 여행(가족 외),알라딘 중고서점 부산 서면점,4
f002595,0,0.25,2인 여행(가족 외),매미성,6
f002595,0,0.25,2인 여행(가족 외),거제 식물원 정글돔,6
f002595,0,0.25,2인 여행(가족 외),근포 땅굴,6
f002595,0,0.25,2인 여행(가족 외),바람의 언덕,6
f002595,0,0.25,2인 여행(가족 외),학동 흑진주 몽돌해변,6
f002595,0,0.25,2인 여행(가족 외),외도 보타니아,6
f002595,0,0.25,2인 여행(가족 외),김해국제공항 국내선 청사,6
f001125,1,0.25,2인 여행(가족 외),도구해수욕장,11
f001125,1,0.25,2인 여행(가족 외),영일대 장 미원,11
f009637,1,0.75,2인 가족 여행,BIFF 거리,22
f009637,1,0.75,2인 가족 여행,국립 해양 박물관,22
f009637,1,0.75,2인 가족 여행,부산항 대교,22
f001831,0,0.5,3인 이상 여행(가족 외),에콜리안제천컨트리클럽,13
f001831,0,0.5,3인 이상 여행(가족 외),샘마루공원,13
f001831,0,0.5,3인 이상 여행(가족 외),성문 안 컨트리클럽,13
f001831,0,0.5,3인 이상 여행(가족 외),유일 컬처파크,13
f006687,0,0.0,2인 여행(가족 외),센텀시티 스파랜드,0
f006687,0,0.0,2인 여행(가족 외),아모레 부산,0
f006687,0,0.0,2인 여행(가족 외),KTG 상상마당 부산,0
f006341,1,0.5,자녀 동반 여행,와글아 이 울산 더 테라스 가든 점,15
f012594,1,0.0,나홀로 여행,남이섬 유원지 겨울연가 촬영지,4
f012594,1,0.0,나홀로 여행,남이섬 달오름 및 도깨비 동산,4
f012594,1,0.0,나홀로 여행,남이섬 유원지 평화랑,4
f012594,1,0.0,나홀로 여행,남이섬 유원지 메타세쿼이아 길,4
f012594,1,0.0,나홀로 여행,남이섬 나미 콩쿠르 갤러리,4
f012594,1,0.0,나홀로 여행,남이섬 강릉 경포점 및 헛다리,4
f012594,1,0.0,나홀로 여행,남이섬 하늘폭포,4
f000958,1,0.25,3인 이상 여행(가족 외),롯데월드 어드벤처 부산,10
f016024,0,0.25,2인 여행(가족 외),대왕암,8
f000337,0,0.25,2인 가족 여행,포토 인 더 박스 경주 황리 비단길점,7
f000337,0,0.25,2인 가족 여행,대릉원,7
f000337,0,0.25,2인 가족 여행,첨성대,7
f000337,0,0.25,2인 가족 여행,황남쫀드기,7
f000337,0,0.25,2인 가족 여행,동궁과 월지,7
f000337,0,0.25,2인 가족 여행,분황사,7
f000337,0,0.25,2인 가족 여행,단서가 찰보리빵 경주 본점,7
f006830,0,0.5,2인 여행(가족 외),구와우마을,14
f006830,0,0.5,2인 여행(가족 외),황지공원 황지연못,14
f006830,0,0.5,2인 여행(가족 외),대덕산 태백시 용연 동굴,14
f006830,0,0.5,2인 여행(가족 외),황부자 며느리 공원,14
f006830,0,0.5,2인 여행(가족 외),오로라 파크,14
f006830,0,0.5,2인 여행(가족 외),몽토랑산양목장,14
f008276,0,0.25,2인 여행(가족 외),마벨 미뇽,7
f008276,0,0.25,2인 여행(가족 외),이재모 피자 서면점,7
f008276,0,0.25,2인 여행(가족 외),해운대해수욕장,7
f008276,0,0.25,2인 여행(가족 외),신세계 센텀시티몰,7
f008276,0,0.25,2인 여행(가족 외),광안리해수욕장,7
f008276,0,0.25,2인 여행(가족 외),트레이더스 홀세일 클럽 연산점,7
f000422,0,0.5,3인 이상 여행(가족 외),태화강 국가 정원,13
f000422,0,0.5,3인 이상 여행(가족 외),대왕암공원,13
f000422,0,0.5,3인 이상 여행(가족 외),경주월드,13
f000422,0,0.5,3인 이상 여행(가족 외),중앙 야시장,13
f005092,1,0.5,나홀로 여행,MRNW,17
f005092,1,0.5,나홀로 여행,더 현대 대구,17
f005092,1,0.5,나홀로 여행,서문시장,17
f011915,1,0.5,3인 이상 여행(가족 외),얼음골,17
f015079,0,0.0,2인 여행(가족 외),벡스코 제2전시장,2
f001203,0,0.0,나홀로 여행,황산공원,2
f015914,1,1.0,부모 동반 여행,수로왕릉,28
f015914,1,1.0,부모 동반 여행,연지공원,28
f012724,0,0.0,2인 여행(가족 외),스위퍼,0
f012724,0,0.0,2인 여행(가족 외),동궁과 월지,0
f012724,0,0.0,2인 여행(가족 외),오데르 향수 공방,0
f012724,0,0.0,2인 여행(가족 외),첨성대,0
f012724,0,0.0,2인 여행(가족 외),교촌마을,0
f012724,0,0.0,2인 여행(가족 외),베이글 베이 글러,0
f001479,0,0.0,나홀로 여행,동궁과 월지,2
f001479,0,0.0,나홀로 여행,대릉원,2
f001479,0,0.0,나홀로 여행,황남빵 주차장,2
f001479,0,0.0,나홀로 여행,월정교,2
f001479,0,0.0,나홀로 여행,국립경주박물관,2
f001479,0,0.0,나홀로 여행,불국사,2
f001479,0,0.0,나홀로 여행,석굴암,2
f001479,0,0.0,나홀로 여행,동백꽃 필 무렵 촬영지 계단,2
f001479,0,0.0,나홀로 여행,호미곶,2
