TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_STATUS_ACCOMPANY,VISIT_AREA_NM,CLUSTER_NEW
f014507,0,0.5,2인 여행(가족 외),오륙도 스카이워크,14
f014507,0,0.5,2인 여행(가족 외),우암동 도시숲,14
f011017,1,0.0,부모 동반 여행,안동문화의 거리,4
f011017,1,0.0,부모 동반 여행,하회 마을 나룻배,4
f015446,1,0.25,2인 여행(가족 외),소양강댐 정상 주차장,10
f015446,1,0.25,2인 여행(가족 외),춘천 세종호텔,10
f015446,1,0.25,2인 여행(가족 외),한림대학교,10
f011577,1,0.25,부모 동반 여행,속초해수욕장,9
f011577,1,0.25,부모 동반 여행,속초관광수산시장,9
f003443,1,0.0,2인 여행(가족 외),인생네컷 밀양 삼문점,5
f003443,1,0.0,2인 여행(가족 외),이케아 동부산점,5
f003443,1,0.0,2인 여행(가족 외),임랑해수욕장,5
f016398,0,0.5,3인 이상 여행(가족 외),내원사,13
f001061,0,0.5,자녀 동반 여행,남해 독일마을,12
f001061,0,0.5,자녀 동반 여행,둔촌 갯벌체험장,12
f001061,0,0.5,자녀 동반 여행,고성공룡 박물관,12
f002756,0,1.0,나홀로 여행,롯데마트 삼계점,24
f002756,0,1.0,나홀로 여행,광암해수욕장,24
f002756,0,1.0,나홀로 여행,진동 시장,24
f016808,0,0.5,부모 동반 여행,용두산공원,14
f016808,0,0.5,부모 동반 여행,BIFF 광장,14
f016808,0,0.5,부모 동반 여행,꽃분이네,14
f016808,0,0.5,부모 동반 여행,남포지하쇼핑센터,14
f001050,0,0.0,2인 여행(가족 외),묵호 바다문화길,2
f001050,0,0.0,2인 여행(가족 외),논골담길,2
f001050,0,0.0,2인 여행(가족 외),도째비골스카이밸리,2
f001050,0,0.0,2인 여행(가족 외),연필 뮤지엄,2
f001050,0,0.0,2인 여행(가족 외),경포해수욕장,2
f001050,0,0.0,2인 여행(가족 외),허균 허난설헌 기념관,2
f001050,0,0.0,2인 여행(가족 외),경포 호수광장,2
f001050,0,0.0,2인 여행(가족 외),안목 해변,2
f001050,0,0.0,2인 여행(가족 외),고래 책방,2
f001050,0,0.0,2인 여행(가족 외),강릉 중앙시장,2
