TRAVELER_ID,AVG_VISIT_PER_TRIP_TYPE_1,AVG_VISIT_PER_TRIP_TYPE_2,AVG_VISIT_PER_TRIP_TYPE_3,AVG_VISIT_PER_TRIP_TYPE_4,AVG_VISIT_PER_TRIP_TYPE_5,AVG_VISIT_PER_TRIP_TYPE_6,AVG_VISIT_PER_TRIP_TYPE_7,AVG_VISIT_PER_TRIP_TYPE_8,AVG_VISIT_PER_TRIP_TYPE_9,AVG_VISIT_PER_TRIP_TYPE_10,AVG_VISIT_PER_TRIP_TYPE_11,AVG_VISIT_PER_TRIP_TYPE_12,AVG_VISIT_PER_TRIP_TYPE_13,AVG_DGSTFN_TYPE_1,AVG_DGSTFN_TYPE_2,AVG_DGSTFN_TYPE_3,AVG_DGSTFN_TYPE_4,AVG_DGSTFN_TYPE_5,AVG_DGSTFN_TYPE_6,AVG_DGSTFN_TYPE_7,AVG_DGSTFN_TYPE_8,AVG_DGSTFN_TYPE_9,AVG_DGSTFN_TYPE_10,AVG_DGSTFN_TYPE_11,AVG_DGSTFN_TYPE_12,AVG_DGSTFN_TYPE_13
h004573,0.8571428571428571,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.4,0.5,0.8571428571428571,1.0,0.5,0.7916666666666667,0.8264015009673595,0.8475291375291376,1.0,1.0,0.8492029209091845,0.8425824842309557,0.8269675925925926,1.0,0.75,0.875,1.0,1.0
h004577,0.2857142857142857,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.3,0.5,0.35714285714285715,0.0,0.0,1.0,0.8264015009673595,0.8475291375291376,1.0,0.8740256124721604,0.8492029209091845,0.8425824842309557,0.8269675925925926,0.5,1.0,0.8,0.7910223367697595,0.8516383672633672
h004579,0.2857142857142857,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,1.0,0.8264015009673595,0.8475291375291376,0.875,1.0,0.8492029209091845,0.8425824842309557,0.8269675925925926,0.8999999999999999,0.8289534668149796,0.9642857142857142,0.75,0.8516383672633672
h004593,0.7142857142857143,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.5,1.0,0.42857142857142855,0.0,0.0,1.0,0.8264015009673595,0.8475291375291376,1.0,0.8740256124721604,0.8492029209091845,1.0,0.8269675925925926,0.75,1.0,1.0,0.7910223367697595,0.8516383672633672
h004621,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.2,0.5,0.21428571428571427,0.0,0.0,0.8459076170810618,0.8264015009673595,0.8475291375291376,0.7962807520518402,0.8740256124721604,0.8492029209091845,0.75,1.0,0.75,1.0,0.8333333333333333,0.7910223367697595,0.8516383672633672
h004636,0.2857142857142857,0.0,0.0,0.2,1.0,0.0,0.5,0.0,0.3,0.0,0.2857142857142857,0.0,0.0,1.0,0.8264015009673595,0.8475291375291376,1.0,1.0,0.8492029209091845,0.5,0.8269675925925926,1.0,0.8289534668149796,0.875,0.7910223367697595,0.8516383672633672
h004640,0.8571428571428571,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.4,0.5,0.42857142857142855,0.0,0.0,0.9166666666666667,0.8264015009673595,1.0,0.5,0.8740256124721604,0.8492029209091845,0.8425824842309557,0.8269675925925926,1.0,1.0,0.9166666666666667,0.7910223367697595,0.8516383672633672
h004660,0.42857142857142855,0.5,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.5714285714285714,0.0,0.0,0.8333333333333333,1.0,0.8475291375291376,0.8333333333333333,0.8740256124721604,0.8492029209091845,0.8425824842309557,0.8269675925925926,1.0,0.8289534668149796,1.0,0.7910223367697595,0.8516383672633672
h004696,0.7142857142857143,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.4,0.0,0.6428571428571429,0.0,0.0,0.95,0.8264015009673595,0.8475291375291376,1.0,0.8740256124721604,1.0,0.8425824842309557,0.8269675925925926,0.9375,0.8289534668149796,0.8333333333333333,0.7910223367697595,0.8516383672633672
h004712,0.2857142857142857,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.2857142857142857,0.0,0.0,0.75,0.8264015009673595,0.75,1.0,0.8740256124721604,0.8492029209091845,0.8425824842309557,0.8269675925925926,0.65,0.8289534668149796,0.9375,0.7910223367697595,0.8516383672633672
h004746,0.42857142857142855,0.0,0.0,0.6,1.0,0.0,1.0,0.0,0.4,0.0,0.2857142857142857,0.0,1.0,0.41666666666666663,0.8264015009673595,0.8475291375291376,1.0,1.0,0.8492029209091845,0.875,0.8269675925925926,0.75,0.8289534668149796,0.75,0.7910223367697595,0.5
h004752,0.14285714285714285,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.3,0.5,0.5714285714285714,0.0,0.5,0.5,0.8264015009673595,0.8475291375291376,0.6666666666666666,0.8740256124721604,0.8492029209091845,0.8425824842309557,0.8269675925925926,0.8333333333333333,0.75,0.84375,0.7910223367697595,1.0
h004754,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2857142857142857,0.0,0.0,1.0,0.8264015009673595,0.8475291375291376,0.7962807520518402,0.8740256124721604,0.8492029209091845,1.0,0.8269675925925926,0.875,0.8289534668149796,0.9375,0.7910223367697595,0.8516383672633672
h004796,0.42857142857142855,0.0,0.0,0.8,0.0,1.0,0.0,0.0,0.3,0.0,0.07142857142857142,0.0,0.0,0.6666666666666666,0.8264015009673595,0.8475291375291376,0.9375,0.8740256124721604,1.0,0.8425824842309557,0.8269675925925926,1.0,0.8289534668149796,0.75,0.7910223367697595,0.8516383672633672
h004860,0.5714285714285714,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.3,0.5,0.6428571428571429,0.0,0.5,0.8125,0.8264015009673595,0.8475291375291376,0.75,0.8740256124721604,0.8492029209091845,0.875,0.8269675925925926,0.5833333333333334,1.0,0.8611111111111112,0.7910223367697595,0.75
h004876,0.5714285714285714,0.0,0.0,0.6,1.0,0.0,0.5,0.0,0.4,0.5,0.9285714285714286,1.0,0.0,0.8125,0.8264015009673595,0.8475291375291376,0.8333333333333333,0.75,0.8492029209091845,1.0,0.8269675925925926,0.875,0.75,0.7884615384615385,0.75,0.8516383672633672
